date,RQ1_SQ1,RQ1_SQ2,RQ1_SQ3,RQ1_SQ4,RQ1_SQ5,RQ2_SQ1,RQ2_SQ2,RQ2_SQ3,RQ2_SQ4,RQ2_SQ5,RQ3_SQ1,RQ3_SQ2,RQ3_SQ3,RQ3_SQ4,RQ3_SQ5,RQ4_SQ1,RQ4_SQ2,RQ4_SQ3,RQ4_SQ4,RQ4_SQ5,RQ5_SQ1,RQ5_SQ2,RQ5_SQ3,RQ5_SQ4,RQ5_SQ5
1963-08-09,0.00108920,0.00649560,0.00315375,0.00364745,0.00856725,0.00153190,0.00392970,0.00554005,0.00469720,0.01128835,0.00389110,0.00432400,0.00679210,0.00717575,0.01071175,0.00137000,0.00441275,0.00438630,0.01035405,0.00999765,0.00439940,0.00250725,0.00299270,0.00253920,0.00936800
1963-08-12,0.00965950,0.00074080,0.00163145,0.00545455,0.01096880,-0.00028440,0.00197380,0.00329275,0.00735545,0.00957140,0.00252435,0.00032995,0.00018060,0.00579735,0.00665250,0.00500255,0.00024125,0.00754630,0.00448405,0.00780865,0.00365855,0.00267235,0.00059685,0.00094785,0.01512275
1963-08-13,-0.00400355,-0.00129725,-0.00005920,0.00501260,0.00001740,0.00459035,0.00191850,0.00704205,0.00196580,-0.00355275,0.00205750,0.00403195,0.00076825,-0.00196600,0.00236310,-0.00073530,0.00044510,0.00345220,0.00486640,0.00518395,0.00252935,0.00405120,0.00547440,0.00488435,0.00514475
1963-08-14,-0.00186570,0.00027330,0.00409840,0.00362830,0.00386475,-0.00147060,0.00538915,0.00377020,0.00441785,0.00527420,0.00221900,-0.00041310,0.00641745,0.00167090,0.00761860,0.00134315,0.00392495,-0.00034410,0.00737765,0.00368205,-0.00040710,-0.00006805,0.00160990,0.00017650,-0.00457065
1963-08-15,0.00326115,0.00088275,0.00827695,0.00339820,0.00154840,0.00429470,0.00460160,0.00505360,0.00301245,0.00515135,0.00183660,0.00186560,0.00886225,-0.00011710,-0.00428335,0.00529665,0.00358825,0.00560260,0.00309155,0.00353795,0.00108945,0.00778315,0.01070695,0.00259620,0.00944270
1963-08-16,0.00408400,0.00208305,0.00157515,-0.00069230,0.00373455,0.00066445,0.00380335,0.00269135,0.00626475,0.00420280,0.00776800,-0.00033330,0.00497020,-0.00023275,0.00265130,-0.00170335,-0.00157760,0.00555045,-0.00090005,0.00279075,-0.00043185,0.00459205,0.00324730,0.00393520,0.00952785
1963-08-19,0.00071725,0.00168810,0.00177050,-0.00049720,0.00048855,0.00138130,0.00242205,0.00306985,0.00065215,0.00251495,0.00179895,-0.00077065,-0.00025515,0.00482180,0.00265150,0.00189865,0.00120205,0.00190250,0.00005825,-0.00495295,-0.00136730,-0.00052025,-0.00185925,-0.00355130,0.00138425
1963-08-20,0.00343470,-0.00260855,0.00001825,0.00017565,-0.00335050,0.00221295,0.00059055,-0.00022350,0.00000395,0.00134180,-0.00003870,0.00364780,-0.00196895,-0.00345500,0.01012725,0.00001040,-0.00068885,-0.00212200,-0.00093665,-0.00178880,-0.00206145,-0.00223230,0.00061485,0.00151170,-0.00370120
1963-08-21,0.00558235,0.00494695,0.00199100,-0.00397720,-0.00119560,-0.00194640,-0.00040605,0.00024365,-0.00257735,-0.00041100,0.00099770,0.00106625,-0.00044450,0.00435785,0.00239865,0.00057485,-0.00266470,-0.00026030,-0.00035115,0.00218815,-0.00142295,-0.00069745,-0.00009400,0.00004945,0.00288055
1963-08-22,0.00376615,0.00622305,0.00443635,0.00820355,0.01044910,0.00261495,0.00189290,0.00289310,0.00731185,0.00452055,-0.00336585,0.00249750,0.00364930,0.00143210,0.00820220,0.00185250,0.00485885,0.00442540,0.00418260,0.00538790,0.00225025,0.00331590,0.00326535,0.00513615,0.00811155
