date,factor_TS,factor_PRET,factor_R2
1970-02-02,0.00263342,-0.00177294,-0.00107578
1970-02-03,-0.00248901,-0.00425376,-0.00489421
1970-02-04,-0.00158085,0.00159284,0.00366390
1970-02-05,0.00562688,0.00342734,0.00192780
1970-02-06,0.00066830,-0.00083216,-0.00272652
1970-02-09,0.00435804,0.00216750,-0.00093352
1970-02-10,0.00090923,0.00317953,0.00223172
1970-02-11,0.00927773,0.00203689,-0.00247669
1970-02-12,0.00354423,0.00369314,0.00256070
1970-02-13,-0.00272546,-0.00001711,0.00319111
1970-02-16,-0.00210479,-0.00062110,0.00086592
1970-02-17,0.00134640,0.00106221,-0.00138232
1970-02-18,-0.00695810,-0.00408085,-0.00128729
1970-02-19,-0.00695076,-0.00436148,-0.00148216
1970-02-20,-0.01089943,-0.00581104,0.00065996
1970-02-24,-0.00763411,-0.00389501,0.00242784
1970-02-25,-0.01092935,-0.00718543,-0.00061064
1970-02-26,0.00017455,0.00129534,0.00204020
1970-02-27,-0.00934580,-0.00484007,0.00441023
1970-03-02,-0.01153888,-0.00622741,0.00449835
1970-03-03,-0.00705962,-0.00276091,0.00279837
1970-03-04,-0.00721674,-0.00383750,0.00411849
1970-03-05,-0.00554223,-0.00214874,0.00363242
1970-03-06,-0.00018499,0.00003464,0.00223432
1970-03-09,-0.00270282,-0.00141143,0.00559226
1970-03-10,0.00648659,0.00458689,-0.00083751
1970-03-11,-0.00322903,-0.00005787,0.00145989
1970-03-12,-0.00034887,0.00002583,0.00195957
1970-03-13,-0.00432342,-0.00160195,0.00373450
1970-03-16,0.00564466,0.00211635,0.00204936
1970-03-17,0.00376587,0.00325728,-0.00392228
1970-03-18,-0.00066560,0.00156754,-0.00073963
1970-03-19,0.00229445,0.00211808,0.00235100
1970-03-20,-0.00020531,0.00037462,0.00168981
1970-03-23,0.00189208,-0.00031160,-0.00082818
1970-03-24,-0.00106912,0.00107646,-0.00037382
1970-03-25,-0.01316233,-0.00228164,-0.00171134
1970-03-26,-0.00142331,-0.00151588,0.00023660
1970-03-30,0.00352315,0.00157303,0.00028546
1970-03-31,0.00362576,0.00362419,-0.00107028
1970-04-01,-0.00104725,0.00149403,-0.00098263
1970-04-02,0.00102536,-0.00117843,0.00033110
1970-04-03,-0.00345245,-0.00117497,0.00374738
1970-04-06,-0.00297090,-0.00225719,0.00312033
1970-04-07,0.00051057,-0.00000159,-0.00004884
1970-04-08,0.00216664,0.00099409,-0.00040307
1970-04-09,0.00020519,0.00052372,0.00315173
1970-04-10,0.00508992,0.00062031,0.00260029
1970-04-13,-0.00071357,-0.00177981,0.00355191
1970-04-14,0.00538313,0.00264143,0.00008493
1970-04-15,0.00223996,0.00288045,0.00233864
1970-04-16,0.00653394,0.00463137,0.00088602
1970-04-17,0.00169528,0.00092652,0.00060582
1970-04-20,-0.00087654,-0.00385342,-0.00526485
1970-04-21,0.00400508,0.00332757,0.00116794
1970-04-22,0.00646963,0.00429837,-0.00065472
1970-04-23,0.00839246,0.00435707,-0.00137063
1970-04-24,0.00499742,0.00349342,0.00194253
1970-04-27,0.00830982,0.00420940,-0.00180996
1970-04-28,0.00640125,0.00124297,-0.00385555
1970-04-29,-0.00620024,-0.00843804,-0.00640246
1970-04-30,0.00217295,0.00369790,0.00321381
1970-05-01,0.00239957,0.00182275,-0.00007319
1970-05-04,0.01139966,0.00958419,0.00215548
1970-05-05,0.00395014,0.00129098,-0.00120546
1970-05-06,-0.01151243,-0.00673205,-0.00109044
1970-05-07,-0.00510003,-0.00429479,-0.00163519
1970-05-08,0.00030351,0.00014833,0.00080176
1970-05-11,0.00474926,0.00548897,0.00351719
1970-05-12,0.00017131,-0.00023087,-0.00192823
1970-05-13,0.00765054,0.00485102,-0.00036307
1970-05-14,0.00748031,0.00094229,-0.00386596
1970-05-15,-0.00372333,-0.00510974,-0.00258299
1970-05-18,-0.00028836,0.00394488,0.00324615
1970-05-19,0.00918311,0.00727119,-0.00205697
1970-05-20,0.00861145,0.00888552,-0.00129933
1970-05-21,0.00675920,0.00519751,-0.00278346
1970-05-22,0.00224977,0.00303219,0.00448553
1970-05-25,0.02027683,0.01643846,0.00215519
1970-05-26,0.00331592,0.00275437,-0.00340683
1970-05-27,-0.02967818,-0.02357158,-0.00166670
1970-05-28,-0.01191916,0.00272523,0.01351197
1970-05-29,-0.01093548,-0.00579107,0.00259375
1970-06-01,-0.00722566,-0.00462967,0.00550124
1970-06-02,-0.00394054,0.00208797,0.00553743
1970-06-03,-0.00722759,0.00377785,0.00928647
1970-06-04,0.01016939,0.00851264,-0.00007215
1970-06-05,0.00988376,-0.00101170,-0.00567474
1970-06-08,-0.00402955,-0.00330927,-0.00361481
1970-06-09,-0.00024833,-0.00517792,-0.00296042
1970-06-10,0.00405107,0.00069514,-0.00109975
1970-06-11,0.00696704,0.00521850,-0.00163023
1970-06-12,0.00263805,-0.00018672,-0.00175441
1970-06-15,-0.00570103,-0.00454769,-0.00095533
1970-06-16,-0.01465496,-0.00944065,-0.00011920
1970-06-17,0.00591799,0.00176326,-0.00111260
1970-06-18,-0.00036652,-0.00633264,-0.00346092
1970-06-19,-0.00120018,-0.00206798,0.00039414
1970-06-22,0.00943027,0.00280774,-0.00060564
1970-06-23,0.01704678,0.01022119,-0.00054980
1970-06-24,0.00540086,0.00259433,0.00022745
1970-06-25,-0.00078277,-0.00124478,-0.00217406
1970-06-26,0.00723064,0.00361275,-0.00015169
1970-06-29,0.00648453,0.00413086,-0.00140534
1970-06-30,0.00230933,0.00120740,-0.00155775
1970-07-01,0.00068406,-0.00128847,-0.00140103
1970-07-02,0.00347057,0.00134034,-0.00169976
